Positve_comment
"['Good job the books are actually finished. We all know what happens when D&D have to carry on the story for themselves.',"
" 'Sweet jehovaI am so jealous of anyone who doesnt know whats coming with this story.Best three sci fi books Ive ever read as far as mind blowing imagination and existential horror',"
" 'just finished the book. Totally love it, from the sci fi, the philosophy, the messages, the ending. Hooe the netflix one can handle all of these aspects. I dont care if they change the casts to be multicultural. The story is about earth afterall. But I hop',"
" ""last night I finished the last book of the trilogy and it's the craziest story I've ever read. everything civilizations did, it never really mattered"","
" 'I approved obama and read, perfect',"
" ""I've already watched the Chinese made one, but I'm still gonna watch this one.Though Netflix is gonna have a hard time topping the guy they chose to play Da Shi"","
" ""I've just finished watching the Tencent production. It a great adaptation. For what I see here, D&D think that Three Body is Matrix 3... will they butch this story too?"","
" 'Please, please, please do the books justice!!',"
" 'Am reading series now. Looks good. Looks like Netflix honored the Chinese character of the series.',"
" 'This looks SO much better than the Chinese series--which was a solid adaptation of the first novel, but very bland.',"
" ""Man I hope they don't mess this up. This was one of the best and deeply philosophical sci-fi/cosmic horror books that I've ever read"","
" 'The Tencent version of this got me teared up.. I have never read the novel before watching and I think ep 20 onwards are very well made(pacing was slow until ep8)',"
" 'Netflix going to woke it up trust me',"
" '""From the creators of Game of Thrones"" as a GOT fan no thank you!',"
" 'Thought this was cool until I saw David Benioff and DB Weiss were writers on it. Hopefully its good but Im not optimistic.',"
" 'From the creators of game of thrones. No shit. If George r r Martin is involved is gonna be sick. Cant wait.',"
" ""Man I'm just learning about this on Quinn's channel and now I got to decide whether to read the books first to watch the show it's all so exciting I don't know what to do"","
" 'Holly cow this soundtrack... i can listen this all day',"
" 'Netflix, please do not ruin this.',"
" 'Looking forward for this with high hop for better ending',"
" ""I hope any battles have some logic strategy to them. In GOT the main thing that got me was most of the battles didn't have any logic to them. I'm sure the first few seasons will be good but its the wrap up we need to be weary about. Its easy to get folk in"","
" '<a href="" love that',"
" 'Putting ""From the creators of Game of Thrones"" is very polarizing. If the ending of this is as bad as the ending of GoT, I\'m gonna have to skip this. There\'s only one thing that gives me hope - that they have a completed trilogy to base off of. In GoT, as',"
" ""Since it's a completed trilogy & the game of thrones creators did a fantastic job with the seasons they adapted from the books this is going to be a real banger"","
" 'sooooo excited - the books are incredible',"
" 'I feel so lucky that I could read the books before the release of the series on Netflix. When the internet will be filled with spoilers it will be hard for newcomers to read the books in silence.',"
" 'Actually i see the first two books but not the third. There is so much depth to it, if you have read the books, and notice how every word of sagan is attached to specific images portraying specific events... Best trailer ever made',"
" 'im watching the original chinese series and omg its amazing. Is Physics actually real?',"
" 'Just watch the Chinese TV series. It was made on a lower budget but is much more authentic.',"
" 'If they adapt the books faithfuly then you guys are not ready for this. This is not gonna be like starwars. That much I can tell you.',"
" ""Don't get me wrong; Wong seems like a cool guy. But while reading the books I was picturing Ma Dong-Seok as Da Shi"","
" ""Please Netflix don't mess with this fantastic novels."","
" ""Having just finished the first book, I'm looking forward to this. There's already a couple of scenes I recognise and I hope that it'll be a faithful adaptation."","
" 'As a fanatic for the books....I approve of every single frame of that trailer except ""From the creators of Game of Thrones""',"
" ""Best book series I've ever read. I REALLY hope Netflix nails this. This is a very VERY hard story to nail narratively and visually."","
" 'Looks Hopeful. Only Hope/Concern at this point is (if) its sual.',"
" 'Ive never been this excited, the books CHANGED my life a d watching it in action its going to be A TRIP',"
" 'The books are literally my favourite of all time',"
" 'Eagerly waiting for this.',"
" ""I'm super excited just to see the dehydrated bodies lmao"","
" 'This looks great, but it seems soooooooooooo far away from the books xd. Like what is all those special effects and fighting??? But it looks amazing.',"
" 'I must say the preview does have a beautiful look. I was pumped for this until I saw the from the creators of Game of Thrones title. The book is full of complex subject matter and ideas which may not translate at all onto the screen. But I will give it a t',"
" 'Netflix + the guys who ruined got, yehhhh this is going to be great',"
" 'this is gonna be bigger than GoT. the books are once in a millennium masterpieces.',"
" ""Ok I gotta read this series before this gets herI've heard nothing but good reviews and I love hard sci fi."","
" 'I started seeing and tough "" HOLY SHiWT NETFLIX WILL HAVE THE BALLS TO MAKE A SERIE ABOUT THE DICTADORSHIP IN CHINA"".',"
" 'As much as I hate D&D for the ending of GOT, they did a good job adapting the books. As long as they have the material, they can make it compelling on screen. As a book reader, everything here looks faithfully don@@',"
" 'Had no idea this was around the corner! So excited!',"
" ""I couldn't be more excited. The source material is brilliant, the cast and crew are stellar, and it's got funding to cover all three books. Unless something goes terribly wrong, this is going to be one heck of an event."","
" 'The books are pretty damned stark - it will be interesting.',"
" '""FROM THE CREATORS OF GAME OF THRONES...""I cannot imagine a worse marketing strategy.',"
" ""If you had never read this book or heard about it, what would you make of this trailer? If you've read the books, the trailer is amazing and you can place the scenes in the books. Without that, there is no context for this trailer. Netflix is spending hund"","
" 'OK I may be canceling a streaming service just to get Netflix back for a little while just for this.',"
" 'OMG, cant wait to watch it. Now I am on reading second trilogy of 3-body Problem - Dark Forest.',"
" 'Suggest foreign friends to watch the Chinese version of the three body TV series! Binaifei is shooting much better',"
" ""I don't have much interest in series but this might change my mind."","
" 'Chinese made best Sci-fi story ever!!!!!',"
" ""Can't wait, even though I've already watched the Chinese version"","
" 'This series will scare the crap out of everyone!! I cant wait!!!!',"
" 'Looking forward to it..',"
" ""Can't wait"","
" 'tencent verison looks to be better, i hope i am wrong.',"
