Negative_comment
"Why are there no Asian men in the trailer? For a book adapted from China, you\'d expect a ""diverse"" cast to actually have more than 1 Asian female (who traditionally test better with audiences) star in the show. We missed out another chance to open the pipe',"
" 'Why on Earth Netflix have to give this masterpiece to the worst showrunners of the last 10 years?',"
" 'Is this just going to be anti China propaganda? Thanks guys who ruined GoT, gonna love ur political commentary',"
" 'For those confused, most of the weird stuff you see in the trailer is from a virtual reality game the characters are playing.',"
" ""So, one season, season finale cliffhanger, and then canceled? Yeah, count me out.Maybe when services stop canceling shows on cliffhanger endings, I'll start watching again. Until then I have better things to do than waste my time on something that will pro"","
" ""Love the books, but the adaptation is made by Netflix, so they'll probably screw it up"","
" 'We will not be watching, D&D writing this means it is guaranteed to suck ass.',"
" 'All the weird Capri Sun product placement throughout this lmao',"
" 'for the love of god netflix dont screw this up like the witcher which was my other favourite book series',"
" 'Clearly DandD can only write from source material. Horrible people and shouldnt have gotten another job',"
" ""Yeah lol no thanks. I'm not gonna watch anything from the guys who ruined the ending of Game of Thrones ever again."","
" ""Hey. don't fuckedup this beautiful novel."","
" ""Don't f this up Netflix!!!!!!"","
" 'In my head, I pictured the first scene in a dank, windowless room...',"
" 'This show feels cheap',"
" 'If you want to whitewash every character for ""localization"", why is Ye Wenjie excluded?If you keep Ye Wenjie\'s ""Cultural Revolution"" background to match the character\'s developi totally suport,but why you change others race?You guys make a show like a pure',"
" ""I made it to about half way through the second book. I couldn't buy into the character's motivations. They weren't coming across as realistic to me. The concept is fascinating. I wish I could get into it but have tried three times and have only made it thr"","
" 'Do not respond.',"
" ""There's a passage in the book that describes how, when mankind was in utter despair, there were a million people in the square, men and women, men and men, women and women...... to the fullest extent of, well, that's what it was. I don't expect the Chine"","
" 'U r absolutely gonna make this story some stink food for ABC and white American.',"
" ""Mark my words, it will be filled with anti Chinese anti Communist propaganda. As it happened with Chernobyl. They would never spend money on something if it's not conveying a message that everybody is bad but them."","
" 'The beautiful devil with a katana sword. chilling, terrifying',"
" 'Nope. Absolutely loved the books. But I will never trust David Benioff and D. B. Weiss ever again after they butchered GoT. I dont care if this is an attempt to redeem themselves. Idk what the budget is for this but Im guessing Netflix got a good deal out',"
" ""I'll watch one episode and if i see one out of place character or deviation from the original text I'm done with netflix"","
" 'I hope the CGI is not final. The sequence at <a href="" looks like from a cheap videogame.',"
" 'After watching the""Three Body Problem"" the ""official"" Chinese series, this version looks really awful.',"
" 'I am sure that netflix will f this up...',"
" 'I cant believe theyre letting those 2 douche bags who ruined game of thrones take on another project?! They will ruin this',"
